% x_um y_um sigma_s_m k_w_mk
180 9.93802542857 723.164236828 21.0344944344
185 9.93802542857 2308.41249286 22.1309596948
190 9.93802542857 6889.00525906 24.0444327574
195 9.93802542857 17881.0235479 26.6923329981
200 9.93802542857 39840.6800469 29.7218725265
205 9.93802542857 76082.6119128 32.6332271979
210 9.93802542857 100000 35.0137027359
215 9.93802542857 100000 36.6436218762
220 9.93802542857 100000 37.4402177397
225 9.93802542857 100000 37.4495816729
230 9.93802542857 100000 36.9668821327
235 9.93802542857 100000 36.5546337263
240 9.93802542857 100000 36.7819955691
245 9.93802542857 100000 37.8802328726
250 9.93802542857 92053.9156194 39.6110385271
255 9.93802542857 74105.9840513 41.3727418615
260 9.93802542857 55493.8646153 42.4404705499
265 9.93802542857 38412.0483857 42.3414625839
270 9.93802542857 28281.1536131 41.2376447761
275 9.93802542857 30904.5210947 39.9200669476
280 9.93802542857 51049.4412893 39.2726164329
285 9.93802542857 91528.7081931 39.6889467391
290 9.93802542857 100000 41.0015186941
295 9.93802542857 100000 42.8715227717
300 9.93802542857 100000 45.1458050173
305 9.93802542857 100000 47.8688417482
310 9.93802542857 100000 51.0513019946
315 9.93802542857 100000 54.4738986633
320 9.93802542857 100000 57.682650382
325 9.93802542857 100000 60.1303834514
330 9.93802542857 100000 61.3547927213
335 9.93802542857 100000 61.1356539146
340 9.93802542857 100000 59.5968623919
345 9.93802542857 100000 57.1972179298
350 9.93802542857 100000 54.5728950657
355 9.93802542857 100000 52.2853352194
360 9.93802542857 100000 50.611161822
365 9.93802542857 100000 49.4631991442
370 9.93802542857 100000 48.4112287823
375 9.93802542857 100000 46.7882299136
380 9.93802542857 100000 43.9645259215
385 9.93802542857 100000 39.7529335191
390 9.93802542857 94162.5439031 34.6426284873
395 9.93802542857 54869.5422948 29.5872073605
400 9.93802542857 27274.5044471 25.4736093378
0 14.9070381429 100000 31.1665898898
5 14.9070381429 100000 36.8378231259
10 14.9070381429 100000 42.479047603
15 14.9070381429 100000 47.122958664
20 14.9070381429 100000 50.4243305716
25 14.9070381429 100000 52.7810003029
30 14.9070381429 100000 54.8604575234
35 14.9070381429 100000 57.0078928401
40 14.9070381429 100000 59.0902927383
45 14.9070381429 100000 60.7781487164
50 14.9070381429 100000 61.8255210585
55 14.9070381429 100000 62.1283801648
60 14.9070381429 100000 61.7437862365
65 14.9070381429 100000 60.9640187505
70 14.9070381429 100000 60.2337686898
75 14.9070381429 100000 59.8460340698
80 14.9070381429 100000 59.7408985725
85 14.9070381429 100000 59.6420909174
90 14.9070381429 100000 59.3283362412
95 14.9070381429 100000 58.7661947596
100 14.9070381429 100000 58.1151494782
105 14.9070381429 100000 57.676367809
110 14.9070381429 100000 57.7027045311
115 14.9070381429 100000 58.0976646864
120 14.9070381429 100000 58.3171249351
125 14.9070381429 100000 57.6668563887
130 14.9070381429 100000 55.6985249227
135 14.9070381429 100000 52.3012191493
140 14.9070381429 100000 47.5647275041
145 14.9070381429 100000 41.7801266227
150 14.9070381429 47340.5245698 35.5846429708
155 14.9070381429 19100.7546526 29.8888507353
160 14.9070381429 6616.56813884 25.4775499309
165 14.9070381429 2006.96269906 22.6444548317
170 14.9070381429 609.613044614 21.2049295749
175 14.9070381429 395.368140214 20.8186714705
180 14.9070381429 951.708197328 21.3068864923
185 14.9070381429 3094.1804945 22.737687866
190 14.9070381429 9186.57741947 25.2530103576
195 14.9070381429 23519.2465228 28.7742843629
200 14.9070381429 51436.6906698 32.8295076294
205 14.9070381429 96045.8719706 36.6810127109
210 14.9070381429 100000 39.6593793993
215 14.9070381429 100000 41.4102373611
220 14.9070381429 100000 41.9199612235
225 14.9070381429 100000 41.4641519161
230 14.9070381429 100000 40.584787346
235 14.9070381429 100000 39.9724632154
240 14.9070381429 100000 40.1810059197
245 14.9070381429 100000 41.3710503707
250 14.9070381429 84166.4377397 43.2680530538
255 14.9070381429 66324.544725 45.2611176706
260 14.9070381429 49325.7303318 46.5813532752
