% x_um y_um sigma_s_m k_w_mk
75 29.8140762857 56934.6377033 65.199707235
80 29.8140762857 54297.5396321 63.0687188947
85 29.8140762857 51295.6058328 60.6429138043
90 29.8140762857 49064.6181621 58.8400954845
95 29.8140762857 48554.2119744 58.4276460399
100 29.8140762857 50088.9354997 59.6678266664
105 29.8140762857 53178.7136277 62.1646170729
110 29.8140762857 56743.2844747 65.0450783634
115 29.8140762857 59655.9666567 67.3987609347
120 29.8140762857 61192.0729759 68.6400589704
125 29.8140762857 60980.3147831 68.4689412389
130 29.8140762857 58596.2698598 66.5424402907
135 29.8140762857 53441.6999091 62.3771312396
140 29.8140762857 45272.7465483 55.7759568067
145 29.8140762857 34878.4787784 47.3765485078
150 29.8140762857 24064.2094252 38.6377449901
155 29.8140762857 14787.7390346 31.1416073007
160 29.8140762857 8193.05604319 25.8125705399
165 29.8140762857 4321.33545856 22.6839074413
170 29.8140762857 2556.43158063 21.2577224894
175 29.8140762857 2302.32399518 21.0523830264
180 29.8140762857 3430.68734453 21.9641917936
185 29.8140762857 6326.30342919 24.3040835791
190 29.8140762857 11521.8559575 28.5025098647
195 29.8140762857 19045.5663761 34.5822758594
200 29.8140762857 27885.6863046 41.7258071149
205 29.8140762857 36129.1129868 48.3871620095
210 29.8140762857 41893.7039572 53.0454173392
215 29.8140762857 44372.3158843 55.0483360681
220 29.8140762857 44084.4953921 54.8157538522
225 29.8140762857 42192.3194206 53.2867227641
230 29.8140762857 39632.8647783 51.2184765885
235 29.8140762857 36835.377183 48.957880552
240 29.8140762857 34042.1365166 46.7007163771
245 29.8140762857 31664.9334907 44.7797442349
250 29.8140762857 30204.471355 43.5995728121
255 29.8140762857 29804.5963025 43.2764414565
260 29.8140762857 30004.0321915 43.4376017709
265 29.8140762857 30178.3937585 43.5785000069
270 29.8140762857 30387.0180617 43.7470853024
275 29.8140762857 31668.6406278 44.7827399013
280 29.8140762857 35299.1252255 47.7164648287
285 29.8140762857 41694.8940331 52.884762855
290 29.8140762857 50028.9238076 59.6193323698
